aberation           -> aberration
abilityes           -> abilities
abilties            -> abilities
abilty              -> ability
abondon             -> abandon
abbout              -> about
abotu               -> about
abouta              -> about a
aboutit             -> about it
aboutthe            -> about the
abscence            -> absence
aborigene           -> aborigine
accesories          -> accessories
accidant            -> accident
abreviate           -> abbreviate
abritrary           -> arbitrary
absail              -> abseil
absense             -> absence
absolutly           -> absolutely
absorbsion          -> absorption
absorbtion          -> absorption
abudance            -> abundance
abundacies          -> abundances
abundancies         -> abundances
abundunt            -> abundant
abutts              -> abuts
acadamy             -> academy
acadmic             -> academic
accademic           -> academic
accademy            -> academy
acccused            -> accused
accelleration       -> acceleration
accension           -> ascension
acceptence          -> acceptance
acceptible          -> acceptable
accessable          -> accessible
acident             -> accident
accidentaly         -> accidentally
accidently          -> accidentally
acclimitization     -> acclimatization
accomadate          -> accommodate
accomadating        -> accommodating
accomadations       -> accommodations
accomdate           -> accommodate
accomodate          -> accommodate
accomodating        -> accommodating
accompanyed         -> accompanied
accordeon           -> accordion
accordian           -> accordion
accoring            -> according
accoustic           -> acoustic
accquainted         -> acquainted
accrediation        -> accreditation
accredidation       -> accreditation
accross             -> across
accussed            -> accused
acedemic            -> academic
:acheiv:            -> achieve
acheive             -> achieve
acheiving           -> achieving
acheivment          -> achievement
achievment          -> achievement
achive              -> achieve
acknowldeged        -> acknowledged
acknowledgeing      -> acknowledging
ackward             -> backward
acommodate          -> accommodate
acomplish           -> accomplish
acording            -> according
acquaintence        -> acquaintance
acquiantence        -> acquaintance
acquited            -> acquitted
activites           -> activities
activly             -> actively
actualy:            -> actually
acuracy             -> accuracy
acused              -> accused
acustommed          -> accustomed
adavanced           -> advanced
adbandon            -> abandon
addional            -> additional
additionaly         -> additionally
additonal           -> additional
addmission          -> admission
addopt              -> adopt
addtion             -> addition
adecuate            -> adequate
adequit             -> adequate
adhearing           -> adhering
adherance           -> adherence
admendment          -> amendment
admininistrative    -> administrative
adminstered         -> administered
adminstrate         -> administrate
adminstration       -> administration
adminstrative       -> administrative
adminstrator        -> administrator
admissability       -> admissibility
admissable          -> admissible
admited             -> admitted
adolecent           -> adolescent
adquire             -> acquire
adquiring           -> acquiring
adres               -> address
adventrous          -> adventurous
advertisment        -> advertisement
advesary            -> adversary
adviced             -> advised
aeriel              -> aerial
afair               -> affair
afficionado         -> aficionado
affilate            -> affiliate
affilliate          -> affiliate
affort              -> afford
aforememtioned      -> aforementioned
againnst            -> against
agaisnt             -> against
:aganist            -> against
aggaravates         -> aggravates
aggreed             -> agreed
aggreement          -> agreement
aggregious          -> egregious
aggregrator         -> aggregator
aggresive           -> aggressive
:agian              -> again
agina               -> again
aginst              -> against
agravate            -> aggravate
:agred              -> agreed
agreeement          -> agreement
agreemnt            -> agreement
agregate            -> aggregate
agreing             -> agreeing
agression           -> aggression
agressive           -> aggressive
agressor            -> aggressor
agricultue          -> agriculture
agriculure          -> agriculture
agricuture          -> agriculture
agrieved            -> aggrieved
ahppen              -> happen
aicraft             -> aircraft
aiport              -> airport
airbourne           -> airborne
aircaft             -> aircraft
aircrafts           -> aircraft
airporta            -> airports
airrcraft           -> aircraft
aisian              -> asian
:ajust              -> adjust
albiet              -> albeit
alchohol            -> alcohol
alchol              -> alcohol
alcohal             -> alcohol
alcoholical         -> alcoholic
aledge              -> allege
:alege              -> allege
alegience           -> allegiance
algebraical         -> algebraic
algorhitms          -> algorithms
algoritm            -> algorithm
alientating         -> alienating
alledge             -> allege
allegedely          -> allegedly
allegedy            -> allegedly
allegely            -> allegedly
allegence           -> allegiance
allegience          -> allegiance
allign              -> align
alliviate           -> alleviate
allopone            -> allophone
allready            -> already
allthough           -> although
alltogether         -> altogether
almsot              -> almost
alochol             -> alcohol
alomst              -> almost
alowed              -> allowed
alowing             -> allowing
alreayd             -> already
alsot               -> also
alternitives        -> alternatives
althought           -> although
altough             -> although
alusion             -> allusion
alwasy              -> always
alwyas              -> always
amalgomated         -> amalgamated
amatuer             -> amateur
amature             -> amateur
amendmant           -> amendment
amerliorate         -> ameliorate
amking              -> making
ammend              -> amend
ammount             -> amount
ammused             -> amused
amoung              -> among
amung               -> among
amunition           -> ammunition
analagous           -> analogous
analitic            -> analytic
analogeous          -> analogous
anarchim            -> anarchism
anarchistm          -> anarchism
ancestory           -> ancestry
ancilliary          -> ancillary
androgenous         -> androgynous
androgeny           -> androgyny
:andteh             -> and the
:andthe             -> and the
anihilation         -> annihilation
aniversary          -> anniversary
annoint             -> anoint
annouced            -> announced
annualy             -> annually
annuled             -> annulled
anomolies           -> anomalies
anomolous           -> anomalous
anomoly             -> anomaly
anonimity           -> anonymity
anounced            -> announced
anouncement         -> announcement
ansalisation        -> nasalisation
ansalization        -> nasalization
ansestors           -> ancestors
antartic            -> antarctic
anthropolgist       -> anthropologist
anthropolgy         -> anthropology
:anual              -> annual
anulled             -> annulled
anwsered            -> answered
anyhwere            -> anywhere
anyother            -> any other
anytying            -> anything
aparent             -> apparent
aparrent            -> apparent
apparrent           -> apparent
apparant            -> apparent
aparment            -> apartment
aplication          -> application
aplied              -> applied
appart              -> apart
appealling          -> appealing
appeareance         -> appearance
appearence          -> appearance
appenines           -> apennines
apperance           -> appearance
appereance          -> appearance
applicaiton         -> application
appologies          -> apologies
appology            -> apology
apprearance         -> appearance
apprieciate         -> appreciate
approachs           -> approaches
appropiate          -> appropriate
appropraite         -> appropriate
appropropiate       -> appropriate
approproximate      -> approximate
approxamately       -> approximately
approxiately        -> approximately
approximitely       -> approximately
aprehensive         -> apprehensive
apropriate          -> appropriate
aproval             -> approval
aproximate          -> approximate
aquaduct            -> aqueduct
aquaintance         -> acquaintance
aquainted           -> acquainted
aquiantance         -> acquaintance
aquire              -> acquire
aquiring            -> acquiring
aquisition          -> acquisition
aquitted            -> acquitted
aranged             -> arranged
arangement          -> arrangement
arbitarily          -> arbitrarily
arbitary            -> arbitrary
archaelogical       -> archaeological
archaelogists       -> archaeologists
archaelogy          -> archaeology
archaoelogy         -> archaeology
archaology          -> archaeology
archeaologist       -> archaeologist
archetect           -> architect
archiac             -> archaic
archictect          -> architect
architecht          -> architect
architectual        -> architectural
archtype            -> archetype
aready              -> already
areodynamics        -> aerodynamics
argubly             -> arguably
arguement           -> argument
arised              -> arose
arival              -> arrival
armamant            -> armament
armistace           -> armistice
arogant             -> arrogant
arogent             -> arrogant
aroud               -> around
arrangment          -> arrangement
arrengement         -> arrangement
arround             -> around
artcile             -> article
artical             -> article
articel             -> article
artifical           -> artificial
artillary           -> artillery
arund               -> around
asetic              -> ascetic
:asfar:             -> as far
:asign              -> assign
:aslo:              -> also
asociated           -> associated
asorbed             -> absorbed
asphyxation         -> asphyxiation
assasin             -> assassin
assassintation      -> assassination
assemple            -> assemble
assertation         -> assertion
asside              -> aside
assisnate           -> assassinate
assocation          -> association
assoicate           -> associate
assosication        -> assassination
asssassans          -> assassins
assualt             -> assault
asteriod            -> asteroid
asthe:              -> as the
asthetic            -> aesthetic
aswell              -> as well
atempting           -> attempting
atheistical         -> atheistic
athenean            -> athenian
athiesm             -> atheism
athiest             -> atheist
atorney             -> attorney
atribute            -> attribute
attaindre           -> attained
attemp:             -> attempt
attemt:             -> attempt
attendence          -> attendance
attendent           -> attendant
attened             -> attended
attension           -> attention
:atthe              -> at the
attitide            -> attitude
attributred         -> attributed
attrocities         -> atrocities
audeince            -> audience
auromated           -> automated
austrailia          -> Australia
auther              -> author
authobiographic     -> autobiographic
authobiography      -> autobiography
authorative         -> authoritative
authorites          -> authorities
authorithy          -> authority
authoritiers        -> authorities
authoritive         -> authoritative
authrorities        -> authorities
autochtonous        -> autochthonous
autoctonous         -> autochthonous
automaticly         -> automatically
automibile          -> automobile
automonomous        -> autonomous
autor               -> author
auxilary            -> auxiliary
auxillaries         -> auxiliaries
auxillary           -> auxiliary
auxilliaries        -> auxiliaries
auxilliary          -> auxiliary
availabe            -> available
availablity         -> availability
availaible          -> available
availble            -> available
availiable          -> available
availible           -> available
avalable            -> available
avalance            -> avalanche
avaliable           -> available
avation             -> aviation
averageed           -> averaged
avilable            -> available
awared              -> awarded
bacame              -> became
baceause            -> because
backgorund          -> background
backrounds          -> backgrounds
banannas            -> bananas
bandwith            -> bandwidth
bankrupcy           -> bankruptcy
banruptcy           -> bankruptcy
baout               -> about
basicaly            -> basically
basicly             -> basically
beachead            -> beachhead
beacuse             -> because
beastiality         -> bestiality
beatiful            -> beautiful
beaurocracy         -> bureaucracy
beaurocratic        -> bureaucratic
beautyfull          -> beautiful
becamae             -> became
becames             -> became
becasue             -> because
beccause            -> because
becomeing           -> becoming
becouse             -> because
becuase             -> because
bedore              -> before
beeing              -> being
befoer              -> before
begginer            -> beginner
beggining           -> beginning
beggins             -> begins
begining            -> beginning
beginnig            -> beginning
behavour            -> behaviour
beleagured          -> beleaguered
beleif              -> belief
beleive             -> believe
beleiving           -> believing
beligum             -> belgium
belive              -> believe
belligerant         -> belligerent
bellweather         -> bellwether
bemusemnt           -> bemusement
beneficary          -> beneficiary
benificial          -> beneficial
benifit             -> benefit
bergamont           -> bergamot
bernouilli          -> Bernoulli
beseiging           -> besieging
beteen              -> between
betwen              -> between
beween              -> between
bewteen             -> between
bigining            -> beginning
biginning           -> beginning
bilateraly          -> bilaterally
billingualism       -> bilingualism
binominal           -> binomial
bizzare             -> bizarre
blaim               -> blame
blessure            -> blessing
boaut               -> about
bodydbuilder        -> bodybuilder
bombardement        -> bombardment
bombarment          -> bombardment
bondary             -> boundary
bonnano             -> Bonanno
boook               -> book
borke               -> broke
boundry             -> boundary
bouyancy            -> buoyancy
bouyant             -> buoyant
boyant              -> buoyant
bradcast            -> broadcast
breakthough         -> breakthrough
breakthrought       -> breakthrough
breif               -> brief
brethen             -> brethren
bretheren           -> brethren
briliant            -> brilliant
brillant            -> brilliant
brimestone          -> brimstone
broacasted          -> broadcast
broadacasting       -> broadcasting
broady              -> broadly
buisness            -> business
buoancy             -> buoyancy
buring              -> burning
burried             -> buried
busness             -> business
bussiness           -> business
caculater           -> calculator
